カテゴリ,製品名,種類,別称,電線タイプ,電線1,電線2,適用カバー,,,
接続材,蓄力コネクタ,1号,チク1,銅,"2,2.6,5.5,3.2,8","2,2.6,5.5,3.2,8","""L1"",""L1-2"",""L2"",""T1""",,,
接続材,蓄力コネクタ,2号,チク2,銅,"14,5,22","2,2.6,5.5,3.2,8,14,5,22","""L2"",""T1"",""NT1"",""AS小"",""VCT""",,,
接続材,蓄力コネクタ,3号,チク3,銅,38,"2,2.6,5.5,3.2,8,14,5,22,38","""L2"",""T1"",""NT1"",""AS小"",""VCT""",,,
接続材,蓄力コネクタ,4号,チク4,銅,60,"2,2.6,5.5,3.2,8,14,5,22,38,60","""L3"",""L4"",""T2"",""T3"",""NT3"",""AS小"",""VCT""",,,
接続材,蓄力コネクタ,5号,チク5,銅,"80,100","2.6,5.5,3.2,8,14,5,22,38,60,80,100","""L4"",""T3"",""NT3"",""AS大"",""VCT""",,,
接続材,蓄力コネクタ,6号,チク6,銅,125,"2.6,5.5,3.2,8,14,5,22,38,60,80,100,125","""L4"",""T3"",""NT3"",""AS大"",""VCT""",,,
接続材,蓄力コネクタ,7号,チク7,銅,150,"22,38,60,80,100,125,150","""7･8用"",""VCT""",,,
接続材,蓄力コネクタ,8号,チク8,銅,250,"60,80,100,125,150,250","""7･8用"",""VCT""",,,
引留材,アルミ線用引留クランプ,小,NSL小,アルミ,"25,32,58",ー,"""NHH"",""SNB""",,,
引留材,アルミ線用引留クランプ,中,NSL中,アルミ,"95,120",ー,"""NHH"",""SNB""",,,
引留材,アルミ線用引留クランプ,大,NSL大,アルミ,"150,200,240",ー,"""NHH"",""SNB""",,,
引留材,軽量型アルミ線用引留クランプ,小,SSL小,アルミ,"25,32,58",ー,"""CMK"",""MSB"",""AH"",""NMK""",,,
引留材,軽量型アルミ線用引留クランプ,中,SSL中,アルミ,"120,150,200,240",ー,"""CMK"",""MSB"",""AH"",""NMK""",,,
引留材,軽量型アルミ線用引留クランプ,大,SSL大,アルミ,400,ー,"""CMK"",""MSB"",""AH"",""NMK""",,,
引留材,銅線用引留クランプ,小,引留小,銅,"5,22,38",ー,,,,
引留材,銅線用引留クランプ,中,引留中,銅,60,ー,,,,
引留材,銅線用引留クランプ,大,引留大,銅,"80,100",ー,,,,
引留材,銅線用引留クランプ,特大,引留特大,銅,"125,150",ー,,,,
,,,,,<4,NG,,,,
,,,,,,,,,,
,,,,,,,,,,
